Index,Lon_4326,Lat_4326,CenX_32610,CenY_32610,BBox_32610,Area_32610,Len_32610,Wid_32610,Peri_32610,BCR_32610
"546",-122.484223334818921,49.164488866862023,537600.748438119888306,5445869.537453901953995,"(537600.6975395911, 5445869.501225409, 537600.8030117848, 5445869.5758570945)",0.003881207866611,0.074631685391068,0.105472193681635,0.469020921381169,0.055896944575859
"547",-122.484137862553069,49.164489046431186,537606.979310467606410,5445869.599859168753028,"(537606.7093072947, 5445869.472449105, 537607.3109975602, 5445869.716388793)",0.094719953535626,0.243939687497914,0.601690265466459,2.338305634803966,0.332316533502828
"548",-122.484162175544739,49.164489271949307,537605.206699798349291,5445869.612855713814497,"(537605.0712075551, 5445869.514696495, 537605.3157212015, 5445869.718546786)",0.025331811728830,0.203850291669369,0.244513646350242,1.189545986893952,0.135632087820630
"549",-122.484167912561588,49.164493035120223,537604.785616260371171,5445870.028350191190839,"(537604.6470036613, 5445869.970506357, 537604.9087880775, 5445870.072813484)",0.018782272213564,0.102307126857340,0.261784416274168,0.876864173585350,0.139015414605175
"550",-122.484193926879598,49.164493134281216,537602.889073151163757,5445870.026455778628588,"(537602.8491006285, 5445869.994997228, 537602.9340886519, 5445870.056173151)",0.003338300522082,0.061175923794508,0.084988023387268,0.346667562931707,0.046279545830734
"551",-122.484223053895860,49.164504856000029,537600.756811257801019,5445871.315070551820099,"(537600.7158120476, 5445871.272090561, 537600.7875528978, 5445871.360224305)",0.002529714988852,0.088133743964136,0.071740850224160,0.401047091196099,0.056649944387464
"552",-122.484103919448359,49.164505876535635,537609.441048500710167,5445871.487681792117655,"(537609.3479864433, 5445871.378566796, 537609.5342145066, 5445871.606879163)",0.020526500159631,0.228312366642058,0.186228063306771,1.101181259853422,0.133494720370693
"553",-122.484207458176215,49.164506480419533,537601.892523485003039,5445871.503397522494197,"(537601.8084463337, 5445871.354662087, 537601.9722270184, 5445871.620012387)",0.034330195084951,0.265350299887359,0.163780684699304,1.182749933361480,0.151603058000070
"554",-122.484224786855066,49.164507156495389,537600.628735099453479,5445871.569951077923179,"(537600.5408633741, 5445871.515775749, 537600.7109782593, 5445871.608025738)",0.008790470400382,0.092249988578260,0.170114885200746,0.774903698477519,0.089446521700331
"555",-122.484130369744150,49.164516515717317,537607.504740726086311,5445872.657280092127621,"(537607.4058515223, 5445872.572195947, 537607.6130499536, 5445872.7184541905)",0.016726148477819,0.146258243359625,0.207198431249708,0.836080681495375,0.110302051004430
"556",-122.484120810661963,49.164519674761181,537608.199213996762410,5445873.013211272656918,"(537608.1340485798, 5445872.93726983, 537608.2432897721, 5445873.083296551)",0.010280574064665,0.146026721224189,0.109241192229092,0.604970531451653,0.080109335614338
"557",-122.484120797356425,49.164520569106685,537608.199506680481136,5445873.112640304490924,"(537608.1674325349, 5445873.083412313, 537608.2219257897, 5445873.137698302)",0.001767334648337,0.054285989142954,0.054493254865520,0.251504214743614,0.033175252567044
"558",-122.484123565507588,49.164521014749965,537607.997368501382880,5445873.160806747153401,"(537607.8337915977, 5445873.037910014, 537608.1872452699, 5445873.235333415)",0.032551299899403,0.197423400357366,0.353453672141768,1.882878403542871,0.196694225840085
"559",-122.484109170285620,49.164521169146006,537609.046676072408445,5445873.185119736008346,"(537608.5644890956, 5445873.032187282, 537609.3944172482, 5445873.34863334)",0.128287698943287,0.316446057520807,0.829928152612410,3.052030144398592,0.482587345259509
"560",-122.484163076428999,49.164524331123374,537605.114475833717734,5445873.509859290905297,"(537604.9279668248, 5445873.277177839, 537605.365232356, 5445873.778883443)",0.161820839784892,0.501705604605377,0.437265531159937,2.644194810202991,0.314899329226125
"561",-122.484216956552388,49.164526808367107,537601.184691404807381,5445873.758494254201651,"(537601.1444766384, 5445873.718714935, 537601.2262743487, 5445873.800259682)",0.003141927704801,0.081544747576118,0.081797710270621,0.373857355327296,0.047099200492237
"562",-122.484185897078788,49.164535184928582,537603.442611512611620,5445874.705120682716370,"(537603.3538075989, 5445874.607241062, 537603.5816290157, 5445874.774470007)",0.025193174018950,0.167228944599628,0.227821416803636,0.897257429178412,0.145423558937791
"563",-122.484229592779570,49.164537243611285,537600.255598183139227,5445874.912283065728843,"(537600.2121196695, 5445874.793123928, 537600.3076737612, 5445875.051399123)",0.015432406552999,0.258275195024908,0.095554091618396,0.972031543313885,0.140585156786424
"564",-122.484105885675802,49.164546012160343,537609.267312505282462,5445875.948494057171047,"(537609.1711684533, 5445875.894416718, 537609.3682635955, 5445876.003613826)",0.015663428261397,0.109197108075023,0.197095142211765,0.781700247191301,0.106712180271892
"565",-122.484103027954575,49.164556789992020,537609.467480320599861,5445877.148061078973114,"(537609.3665633806, 5445877.031121234, 537609.5711965809, 5445877.265351104)",0.034110688428910,0.234229869209230,0.204633200308308,1.169154211259111,0.152585243135000
"566",-122.484135016048029,49.164561710099605,537607.131795528344810,5445877.679132356308401,"(537606.9909900983, 5445877.586098132, 537607.2765411366, 5445877.780146016)",0.038615651785495,0.194047884084284,0.285551038221456,1.216734098926887,0.145110593279711
"567",-122.484216272004588,49.164567083240577,537601.204100392758846,5445878.236102933995426,"(537600.8606424063, 5445877.913219939, 537601.6354557171, 5445878.635051713)",0.249517378371043,0.721831774339080,0.774813310825266,4.329945022513230,0.492286707817497
"568",-122.484160810380828,49.164581836474767,537605.236126393429004,5445879.903727564960718,"(537605.103897448, 5445879.714151892, 537605.3711126558, 5445880.041418968)",0.037333453786670,0.327267075888813,0.267215207801200,1.835298228593840,0.202275890249357
"569",-122.484207916666321,49.164582589076637,537601.801470582373440,5445879.964001262560487,"(537601.747638231, 5445879.847595434, 537601.8671675648, 5445880.07528267)",0.019001710907348,0.227687235921621,0.119529333780520,0.856474422095429,0.116500582874664
"570",-122.484213645000438,49.164584297453224,537601.382576889009215,5445880.151073371060193,"(537601.0508812325, 5445879.893903542, 537601.6734248521, 5445880.401966785)",0.186251415872412,0.508063242770731,0.622543619596399,4.486285010042232,0.363722090493496
"571",-122.484177106884786,49.164592503865279,537604.040020482963882,5445881.081505293026567,"(537603.9258236595, 5445881.001148054, 537604.1367444794, 5445881.151129049)",0.015293775383345,0.149980994872749,0.210920819896273,1.243923992668986,0.115091063199889
"572",-122.484227670744303,49.164600088585615,537600.348132569226436,5445881.899574493989348,"(537600.1410381149, 5445881.727483267, 537600.5626018738, 5445882.073915362)",0.108234632355984,0.346432095393538,0.421563758864067,1.740134272803065,0.216746177486090
"573",-122.484207456640902,49.164605998105145,537601.817281742230989,5445882.566559733822942,"(537601.7103942243, 5445882.457976543, 537601.9378680808, 5445882.699513066)",0.030448928256250,0.241536522284150,0.227473856532015,1.339087084447456,0.136560850691953
"574",-122.484196790595590,49.164610765193729,537602.591234938474372,5445883.101802671328187,"(537602.5560824713, 5445883.061442216, 537602.6240310607, 5445883.139657751)",0.002910898771160,0.078215534798801,0.067948589450680,0.360262956618089,0.042223756297637
"575",-122.484124476226640,49.164619417893839,537607.856454510241747,5445884.099614770151675,"(537607.7832846128, 5445884.06913483, 537607.9395964312, 5445884.134403986)",0.006087473962068,0.065269156359136,0.156311818398535,0.734118368256016,0.084376281606606
"576",-122.484209128066581,49.164628668765609,537601.678267596173100,5445885.085977115668356,"(537601.6416832985, 5445885.053698184, 537601.7065805125, 5445885.118457961)",0.002460401596231,0.064759776927531,0.064897213946097,0.441830531216918,0.046491395203325
"577",-122.484229394806704,49.164634077538317,537600.196712103788741,5445885.677195345982909,"(537600.1490055724, 5445885.6147661265, 537600.2478191748, 5445885.72699143)",0.007023117511705,0.112225303426385,0.098813602351584,0.618562588690749,0.066944551181323
"578",-122.484169822039277,49.164642415152734,537604.533296386245638,5445886.633650493808091,"(537604.3912643075, 5445886.5313319005, 537604.6799588046, 5445886.722166308)",0.036293802626584,0.190834407694638,0.288694497081451,1.237124275578459,0.147035444331455
"579",-122.484121662280131,49.164660704273906,537608.030326487612911,5445888.690728038549423,"(537607.7653911898, 5445888.548229442, 537608.2965194876, 5445888.811449767)",0.066003409850246,0.263220325112343,0.531128297792748,2.583009151587005,0.284239349330123
"580",-122.484112550159168,49.164661561070517,537608.693957458133809,5445888.790501593612134,"(537608.356466874, 5445888.510362726, 537609.0591632687, 5445889.018106304)",0.210924438833324,0.507743578404188,0.702696394640952,4.323141940423645,0.387563806477659
